trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,8,7,ERR_TooSlowInstantaneous,0,17.1,2.42,3.92,2.43,0:258,0,7,7,N/A
2,8,7,ERR_TooSlowInstantaneous,0,29.8,1.17,1.96,1.18,0:258,0,7,7,N/A
3,4,3,OK,2.85,33.9,0.0183,3.18,0.0338,0:258,0,3,3,2.24
4,7,6,OK,1.93,40,0.452,2.65,0.469,0:258,0,6,6,6.46
5,11,10,OK,1.52,45.6,0.185,1.98,0.202,0:258,0,10,10,9.9
6,10,9,OK,1.25,48.6,0.27,1.7,0.285,0:258,0,9,9,8.79
7,6,5,OK,1.45,51.3,0.117,1.75,0.134,0:258,0,5,5,4.94
8,8,7,OK,2.2,55.5,0.285,2.58,0.301,0:258,0,7,7,7.42
9,5,4,OK,1.47,59.5,0.202,1.88,0.218,0:258,0,4,4,3.12
10,2,1,OK,1.36,62.3,0.186,1.8,0.202,0:258,0,1,1,0.431
11,3,2,OK,1.17,65,0.135,1.57,0.15,0:258,0,2,2,1.49
12,9,8,OK,1.33,67.5,0.302,1.83,0.318,0:258,0,8,8,8.11
